model,mae,rmse,r2
baseline_last5,4.986898901931086,6.5422935926538885,0.46551656045697265
linear_regression,4.780819834556072,6.212446991176102,0.5180526614288252
random_forest,4.813776292857561,6.255433083209979,0.5113600628841052
